iter	Passed	Remaining
0	59	29745
1	118	29493
2	184	30605
3	245	30498
4	294	29118
5	346	28503
6	407	28700
7	479	29485
8	548	29905
9	602	29528
10	651	28964
11	701	28520
12	755	28292
13	812	28201
14	870	28131
15	924	27968
16	981	27879
17	1037	27790
18	1095	27722
19	1153	27691
20	1211	27629
21	1265	27490
22	1314	27257
23	1363	27044
24	1416	26921
25	1472	26838
26	1532	26845
27	1593	26866
28	1675	27204
29	1754	27493
30	1828	27656
31	1893	27695
32	1961	27755
33	2023	27734
34	2084	27691
35	2147	27679
36	2208	27635
37	2270	27609
38	2336	27614
39	2404	27654
40	2472	27682
41	2538	27687
42	2605	27690
43	2671	27686
44	2731	27617
45	2794	27583
46	2854	27516
47	2918	27479
48	2983	27458
49	3045	27413
50	3115	27432
51	3193	27512
52	3262	27514
53	3328	27487
54	3385	27393
55	3454	27388
56	3535	27479
57	3610	27510
58	3700	27658
59	3775	27687
60	3841	27644
61	3903	27573
62	3957	27449
63	4012	27332
64	4075	27276
65	4145	27260
66	4204	27169
67	4266	27105
68	4337	27095
69	4406	27069
70	4491	27140
71	4587	27272
72	4711	27561
73	4812	27703
74	4891	27720
75	4960	27672
76	5038	27680
77	5108	27640
78	5188	27652
79	5271	27673
80	5351	27684
81	5420	27633
82	5490	27585
83	5553	27503
84	5607	27375
85	5660	27250
86	5721	27159
87	5788	27099
88	5840	26971
89	5895	26856
90	5947	26731
91	6001	26613
92	6053	26490
93	6106	26373
94	6166	26289
95	6228	26209
96	6278	26084
97	6329	25963
98	6378	25835
99	6427	25709
100	6476	25586
101	6525	25463
102	6576	25347
103	6625	25226
104	6681	25133
105	6737	25044
106	6799	24974
107	6854	24878
108	6905	24770
109	6964	24692
110	7015	24585
111	7067	24483
112	7121	24387
113	7170	24278
114	7220	24173
115	7270	24066
116	7318	23957
117	7383	23901
118	7446	23842
119	7501	23754
120	7550	23651
121	7600	23548
122	7651	23451
123	7702	23355
124	7756	23268
125	7810	23184
126	7875	23130
127	7945	23091
128	8002	23015
129	8056	22930
130	8106	22833
131	8156	22739
132	8204	22640
133	8252	22540
134	8301	22445
135	8349	22347
136	8397	22250
137	8446	22157
138	8493	22059
139	8541	21962
140	8589	21868
141	8637	21777
142	8686	21685
143	8736	21598
144	8788	21517
145	8840	21436
146	8892	21354
147	8946	21277
148	8999	21200
149	9051	21120
150	9102	21038
151	9150	20949
152	9200	20866
153	9247	20775
154	9294	20687
155	9344	20605
156	9391	20518
157	9438	20430
158	9487	20347
159	9535	20262
160	9584	20180
161	9632	20096
162	9682	20017
163	9737	19949
164	9787	19871
165	9840	19799
166	9894	19729
167	9946	19657
168	9998	19583
169	10050	19509
170	10099	19431
171	10148	19352
172	10195	19271
173	10243	19191
174	10290	19111
175	10338	19033
176	10386	18954
177	10435	18876
178	10483	18800
179	10534	18728
180	10585	18655
181	10632	18577
182	10682	18503
183	10736	18438
184	10790	18373
185	10847	18311
186	10902	18248
187	10970	18205
188	11022	18137
189	11081	18079
190	11132	18009
191	11183	17939
192	11232	17867
193	11281	17794
194	11332	17724
195	11381	17653
196	11428	17578
197	11479	17509
198	11535	17447
199	11586	17379
200	11641	17316
201	11691	17248
202	11744	17182
203	11798	17119
204	11851	17054
205	11905	16991
206	11957	16925
207	12009	16859
208	12060	16791
209	12107	16720
210	12156	16651
211	12204	16579
212	12252	16509
213	12300	16438
214	12348	16368
215	12397	16299
216	12446	16231
217	12498	16167
218	12546	16099
219	12597	16033
220	12646	15965
221	12695	15898
222	12744	15830
223	12794	15764
224	12846	15700
225	12899	15638
226	12951	15575
227	13003	15513
228	13055	15450
229	13106	15385
230	13155	15319
231	13204	15253
232	13251	15185
233	13300	15119
234	13347	15051
235	13394	14983
236	13441	14916
237	13489	14849
238	13538	14784
239	13585	14717
240	13633	14652
241	13684	14589
242	13739	14531
243	13794	14473
244	13847	14413
245	13900	14352
246	13952	14291
247	14004	14230
248	14054	14167
249	14104	14104
250	14159	14047
251	14213	13987
252	14265	13927
253	14317	13866
254	14368	13805
255	14416	13741
256	14467	13679
257	14517	13616
258	14565	13552
259	14619	13494
260	14669	13432
261	14730	13381
262	14783	13321
263	14838	13264
264	14892	13206
265	14943	13146
266	14997	13087
267	15047	13026
268	15099	12966
269	15150	12906
270	15200	12845
271	15249	12782
272	15296	12718
273	15349	12660
274	15405	12604
275	15463	12550
276	15512	12488
277	15563	12428
278	15612	12366
279	15662	12306
280	15714	12247
281	15767	12189
282	15822	12132
283	15883	12080
284	15943	12027
285	15996	11969
286	16047	11909
287	16095	11848
288	16144	11787
289	16192	11725
290	16240	11664
291	16289	11603
292	16338	11542
293	16384	11480
294	16433	11419
295	16481	11358
296	16535	11301
297	16585	11242
298	16635	11183
299	16687	11124
300	16738	11066
301	16790	11008
302	16842	10950
303	16894	10892
304	16945	10834
305	16995	10774
306	17045	10715
307	17093	10655
308	17142	10595
309	17192	10537
310	17242	10478
311	17292	10419
312	17340	10359
313	17387	10299
314	17437	10241
315	17485	10181
316	17532	10121
317	17580	10061
318	17627	10001
319	17676	9943
320	17726	9884
321	17775	9826
322	17828	9770
323	17881	9713
324	17934	9657
325	17987	9600
326	18037	9542
327	18087	9484
328	18136	9426
329	18184	9367
330	18230	9307
331	18277	9248
332	18341	9198
333	18388	9139
334	18436	9080
335	18484	9022
336	18532	8963
337	18580	8905
338	18628	8847
339	18678	8789
340	18729	8733
341	18779	8676
342	18832	8619
343	18882	8563
344	18936	8507
345	18987	8451
346	19037	8394
347	19086	8336
348	19134	8278
349	19182	8220
350	19230	8163
351	19278	8105
352	19327	8048
353	19377	7991
354	19425	7934
355	19473	7877
356	19521	7819
357	19568	7761
358	19617	7704
359	19666	7647
360	19720	7593
361	19772	7537
362	19825	7482
363	19879	7427
364	19932	7372
365	19984	7316
366	20037	7261
367	20087	7205
368	20135	7148
369	20184	7091
370	20234	7035
371	20282	6978
372	20329	6921
373	20377	6865
374	20425	6808
375	20473	6751
376	20521	6695
377	20570	6639
378	20619	6582
379	20669	6527
380	20722	6472
381	20776	6417
382	20831	6363
383	20883	6308
384	20935	6253
385	20988	6198
386	21039	6143
387	21088	6087
388	21137	6031
389	21186	5975
390	21234	5919
391	21283	5863
392	21330	5807
393	21379	5751
394	21427	5695
395	21475	5640
396	21523	5584
397	21571	5528
398	21619	5472
399	21668	5417
400	21719	5362
401	21772	5307
402	21825	5253
403	21876	5198
404	21929	5143
405	21981	5089
406	22031	5034
407	22083	4979
408	22131	4924
409	22179	4868
410	22227	4813
411	22275	4757
412	22323	4702
413	22372	4647
414	22419	4591
415	22467	4536
416	22514	4481
417	22562	4426
418	22612	4371
419	22661	4316
420	22714	4262
421	22766	4208
422	22818	4153
423	22868	4099
424	22920	4044
425	22973	3990
426	23023	3936
427	23072	3881
428	23119	3826
429	23167	3771
430	23222	3717
431	23270	3662
432	23319	3608
433	23369	3553
434	23418	3499
435	23469	3445
436	23517	3390
437	23564	3335
438	23611	3280
439	23660	3226
440	23711	3172
441	23760	3117
442	23812	3063
443	23863	3009
444	23917	2956
445	23970	2902
446	24023	2848
447	24072	2794
448	24121	2739
449	24168	2685
450	24217	2631
451	24263	2576
452	24311	2522
453	24359	2468
454	24413	2414
455	24461	2360
456	24508	2306
457	24556	2251
458	24604	2197
459	24653	2143
460	24704	2089
461	24759	2036
462	24812	1982
463	24862	1929
464	24915	1875
465	24968	1821
466	25020	1768
467	25070	1714
468	25116	1660
469	25166	1606
470	25213	1552
471	25262	1498
472	25310	1444
473	25358	1390
474	25407	1337
475	25454	1283
476	25504	1229
477	25552	1176
478	25601	1122
479	25651	1068
480	25702	1015
481	25756	961
482	25809	908
483	25861	854
484	25912	801
485	25962	747
486	26013	694
487	26062	640
488	26110	587
489	26159	533
490	26210	480
491	26259	426
492	26309	373
493	26359	320
494	26405	266
495	26454	213
496	26501	159
497	26549	106
498	26597	53
499	26647	0
